"","WDPA_PID","BIOME","IUCN_CAT","IUCN_GROUP","GIS_AREA","PA_Area","BUFF_Area","CONTINENT","LAT","LONG","PA_FPAR_COUNT","PA_FPAR_MEAN","BUFF_FPAR_MEAN","PA_DUR_COUNT","PA_DUR_MEAN","BUFF_DUR_MEAN","PA_IGN_COUNT","PA_IGN_MEAN","BUFF_IGN_MEAN","PA_HFP_COUNT","PA_HFP_MEAN","BUFF_HFP_MEAN","PA_NAT_AREA_COUNT","PA_NAT_AREA","BUFF_NAT_AREA","PA_HET_COUNT","PA_HET","BUFF_HET","PA_BA_COUNT","PA_BA","BUFF_BA"
"2783","140937",4,"IV","A",0.130358688,NA,NA,"EU",53.93506,-1.077187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2784","140944",4,"IV","A",0.127181312,NA,1.486e+09,"EU",54.03986,-2.882633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA
"2785","140947",4,"IV","A",0.075070072,NA,NA,"EU",54.50481,-2.407346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA
"2786","140961",4,"IV","A",0.025619771,NA,NA,"EU",54.07058,-1.829226,1,82,79.0525730180807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2787","140962",4,"IV","A",0.030992517,NA,NA,"EU",51.8182,-2.033899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2788","140965",4,"IV","A",0.157968539,NA,NA,"EU",50.84731,-4.317181,1,-137,37.4295612009238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,-1,NA,NA,NA
"2789","140966",4,"IV","A",0.118904667,NA,1.5e+08,"EU",50.45949,-3.583914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA
"2790","140967",4,"IV","A",0.017025835,NA,NA,"EU",50.73819,-3.104055,1,43,130.956425077812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA
"2791","140980",4,"IV","A",0.090345767,NA,1.874e+09,"EU",50.14353,-5.079113,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-4.91821949328942,NA,NA,NA,1,0,0,NA,NA,NA
"2792","140986",4,"IV","A",0.122271479,NA,3.7e+07,"EU",54.86762,-2.519952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA
"2793","140987",NA,NA,NA,NA,NA,2.2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
